Track Name,Artist,Album,Image URL,Spotify URL,Context URI
Yabani - Şehrazat Bir Ömrün Hikayesi,Derya Uluğ,Yabani (Şehrazat Bir Ömrün Hikayesi),https://i.scdn.co/image/ab67616d0000b2730132e574c6785ffc4f7dc5d2,https://open.spotify.com/track/1FvfWhJoN1lurBloSjxMqz,spotify:album:5Y7GQWayZPlnj4tMYc1u19
Yansam,Amo988,Yansam,https://i.scdn.co/image/ab67616d0000b273779ae42871c5b0d4296bf71e,https://open.spotify.com/track/38gCk1mC6RwSm1iJK5qhsZ,spotify:album:3jrBw3qp6f0oLYFUJUHxdo
Manolya,Burak Bulut,Manolya,https://i.scdn.co/image/ab67616d0000b273c6f6f7e8e18f9549aef5752c,https://open.spotify.com/track/6MUv30zouC8LeRCB2VCcK3,spotify:album:1bXqjBmgsbKO0I8lUdGCKb
Artık Ağlamam,Ceylan,Artık Ağlamam,https://i.scdn.co/image/ab67616d0000b273df62f4ff931cab3cef8c89ea,https://open.spotify.com/track/2nuPMgwQU1japHiKHua8Nh,spotify:album:6p8SsgwgtCf0axlKGIqpMU
Salıncak,Mustafa Ceceli,Salıncak,https://i.scdn.co/image/ab67616d0000b273b8b87d4ccbbf2d78567d29e0,https://open.spotify.com/track/2WvQPmUV1dFdm21C2ryqfo,spotify:album:7e4M15sSXZHABco4p5O1GD
Ayrılmam,MEF,Ayrılmam,https://i.scdn.co/image/ab67616d0000b273b353237b0892718f3c19c51b,https://open.spotify.com/track/04NEUIemDvNHuU1LjeSMjV,spotify:album:4WBxApWgAOqtwZS3eidUzH
Kara Kedi,Melis Fis,Kara Kedi,https://i.scdn.co/image/ab67616d0000b27350c95e539e5f8b0336bf4d18,https://open.spotify.com/track/0WpNYQlysYRiEyLj7oq9n8,spotify:album:3y98IhwFFEpQUkBgvAL17A
Hayatın Kollarında,Samet Kardeşler,Hayatın Kollarında,https://i.scdn.co/image/ab67616d0000b27301302db57891ec88ea05bf78,https://open.spotify.com/track/3Uccy6qcx6bMOppATmf44E,spotify:album:0qTtCRx0B0J9E7qemAMyrv
Nasıl Gittin,Siyam,Nasıl Gittin,https://i.scdn.co/image/ab67616d0000b273732adfb251b9c2cbba0d49c7,https://open.spotify.com/track/7EhE1NxLxmHcz3alaeQsgD,spotify:album:6MOLDd0mQQNl9nqFYSeVnP
Ev Gibi,Sancak,Ev Gibi,https://i.scdn.co/image/ab67616d0000b2732dda1f2284dc0681154cfe72,https://open.spotify.com/track/5SRxiGiZP75JfI8qIzpMw4,spotify:album:35F4RxpixC9g9n7jEmKAbI
Ortak,Melike Şahin,Ortak,https://i.scdn.co/image/ab67616d0000b27319f0a1ff90695e2d14eea60b,https://open.spotify.com/track/3GD8Zc8MByLbeLrLVWBzPz,spotify:album:1fbwxXov1LpDIFzSdRfIPI
Antidepresan,Mert Demir,Antidepresan,https://i.scdn.co/image/ab67616d0000b2736a4753885f8de374c6ff1240,https://open.spotify.com/track/4OH5Cd8ZOI1eSgJSC9PYmU,spotify:album:7qeEafcjWKfuhE2HgXciUL
Unutmak Öyle Kolay Mı Sandın,Semicenk,Unutmak Öyle Kolay Mı Sandın,https://i.scdn.co/image/ab67616d0000b2733b3955d72d353c30366ac352,https://open.spotify.com/track/2Pe8d9oClBgLkkz2N35AiN,spotify:album:1aa3sNKu8ulpGRTBVl2ck2
Yansın,Çağan Şengül,Yansın,https://i.scdn.co/image/ab67616d0000b273c814db8c1972a4544c8c378d,https://open.spotify.com/track/3h8PN4p4qouWrC2EyJPlDT,spotify:album:6sYcBk2hg69ueUrInSEa6Y
